date;flow;head out;head in;head in lift 1;head out lift 1;power sup. unit 1;freq unit 1;voltage unit 1;current unit 1;power sup. unit 2;freq unit 2;voltage unit 2;current unit 2;power sup. unit 3;freq unit 3;voltage unit 3;current unit 3;power sup. unit 3.1;freq unit 3.1;voltage unit 3.1;current unit 3.1;head in lift 2;head out lift 2;power sup. unit 4;freq unit 4;voltage unit 4;current unit 4;power sup. unit 5;freq unit 5;voltage unit 5;current unit 5;power sup. unit 6;freq unit 6;voltage unit 6;current unit 6;power sup. unit 6.1;freq unit 6.1;voltage unit 6.1;current unit 6.1
06.04.2019 01:00;1420;7,7;3,5;3,5;5,8;128;40;380;240;128;40;380;240;128;40;380;240;0;0;0;0;5,8;7,7;128;40;380;240;0;0;0;0;128;40;380;240;0;0;0;0
06.04.2019 02:00;1420;7,7;3,5;3,5;5,8;128;40;380;240;128;40;380;240;128;40;380;240;0;0;0;0;5,8;7,7;128;40;380;240;0;0;0;0;128;40;380;240;0;0;0;0
06.04.2019 03:00;1460;7,7;3,2;3,2;5,8;135;43;380;260;135;43;380;260;135;43;380;260;0;0;0;0;5,8;7,7;135;43;380;260;0;0;0;0;135;43;380;260;0;0;0;0
06.04.2019 04:00;1460;7,7;3,2;3,2;5,8;135;43;380;260;135;43;380;260;135;43;380;260;0;0;0;0;5,8;7,7;135;43;380;260;0;0;0;0;135;43;380;260;0;0;0;0
06.04.2019 05:00;1500;7,7;3,4;3,4;5,8;130;42;380;250;130;42;380;250;130;42;380;250;0;0;0;0;5,8;7,7;130;42;380;250;0;0;0;0;130;42;380;250;0;0;0;0
06.04.2019 06:00;1500;7,7;3,4;3,4;5,8;130;42;380;250;130;42;380;250;130;42;380;250;0;0;0;0;5,8;7,7;130;42;380;250;0;0;0;0;130;42;380;250;0;0;0;0
06.04.2019 07:00;1580;7,7;3,2;3,2;5,8;135;43;380;260;135;43;380;260;135;43;380;260;0;0;0;0;5,8;7,7;135;43;380;260;0;0;0;0;135;43;380;260;0;0;0;0
06.04.2019 08:00;1580;7,7;3,2;3,2;5,8;135;43;380;260;135;43;380;260;135;43;380;260;0;0;0;0;5,8;7,7;135;43;380;260;0;0;0;0;135;43;380;260;0;0;0;0
06.04.2019 09:00;1600;7,7;3;3;5,8;140;45;380;265;140;45;380;265;140;45;380;265;0;0;0;0;5,8;7,7;140;45;380;265;0;0;0;0;140;45;380;265;0;0;0;0
06.04.2019 10:00;1600;7,7;3;3;5,8;140;45;380;265;140;45;380;265;140;45;380;265;0;0;0;0;5,8;7,7;140;45;380;265;0;0;0;0;140;45;380;265;0;0;0;0
06.04.2019 11:00;1500;7,7;3;3;5,8;140;45;380;265;140;45;380;265;140;45;380;265;0;0;0;0;5,8;7,7;140;45;380;265;0;0;0;0;140;45;380;265;0;0;0;0
06.04.2019 12:00;1500;7,7;3;3;5,8;140;45;380;265;140;45;380;265;140;45;380;265;0;0;0;0;5,8;7,7;140;45;380;265;0;0;0;0;140;45;380;265;0;0;0;0
06.04.2019 13:00;1300;7,7;3;3;5,8;140;45;380;265;140;45;380;265;140;45;380;265;0;0;0;0;5,8;7,7;140;45;380;265;0;0;0;0;140;45;380;265;0;0;0;0
06.04.2019 14:00;1300;7,7;3;3;5,8;140;45;380;265;140;45;380;265;140;45;380;265;0;0;0;0;5,8;7,7;140;45;380;265;0;0;0;0;140;45;380;265;0;0;0;0
06.04.2019 15:00;1400;7,7;3,1;3,1;5,8;138;44;380;258;138;44;380;258;138;44;380;258;0;0;0;0;5,8;7,7;138;44;380;258;0;0;0;0;138;44;380;258;0;0;0;0
06.04.2019 16:00;1580;7,7;3,2;3,2;5,8;135;43;380;260;135;43;380;260;135;43;380;260;0;0;0;0;5,8;7,7;135;43;380;260;0;0;0;0;135;43;380;260;0;0;0;0
06.04.2019 17:00;1400;7,7;3,3;3,3;5,8;128;40;380;238;128;40;380;238;128;40;380;238;0;0;0;0;5,8;7,7;128;40;380;238;0;0;0;0;128;40;380;238;0;0;0;0
06.04.2019 18:00;1400;7,7;3,3;3,3;5,8;128;40;380;238;128;40;380;238;128;40;380;238;0;0;0;0;5,8;7,7;128;40;380;238;0;0;0;0;128;40;380;238;0;0;0;0
06.04.2019 19:00;1500;7,7;3,2;3,2;5,8;135;43;380;260;135;43;380;260;135;43;380;260;0;0;0;0;5,8;7,7;135;43;380;260;0;0;0;0;135;43;380;260;0;0;0;0
06.04.2019 20:00;1500;7,7;3,2;3,2;5,8;135;43;380;260;135;43;380;260;135;43;380;260;0;0;0;0;5,8;7,7;135;43;380;260;0;0;0;0;135;43;380;260;0;0;0;0
06.04.2019 21:00;1590;7,7;3,1;3,1;5,8;138;44;380;265;138;44;380;265;138;44;380;265;0;0;0;0;5,8;7,7;138;44;380;265;0;0;0;0;138;44;380;265;0;0;0;0
06.04.2019 22:00;1590;7,7;3,1;3,1;5,8;138;44;380;265;138;44;380;265;138;44;380;265;0;0;0;0;5,8;7,7;138;44;380;265;0;0;0;0;138;44;380;265;0;0;0;0
06.04.2019 23:00;1540;7,7;3,3;3,3;5,8;128;40;380;240;128;40;380;240;128;40;380;240;0;0;0;0;5,8;7,7;128;40;380;240;0;0;0;0;128;40;380;240;0;0;0;0
07.04.2019 00:00;1540;7,7;3,3;3,3;5,8;128;40;380;240;128;40;380;240;128;40;380;240;0;0;0;0;5,8;7,7;128;40;380;240;0;0;0;0;128;40;380;240;0;0;0;0
